Id,CategoryIds,RelationGroup,PressureSide,Brand,Refrigerants,Name
18425,511,Азотни редуцир вентили и манометри,,REFCO,,Комплект редуцир вентил REFCO PRV-2000 | 4687554 - за надуване с азот
18426,511,Азотни редуцир вентили и манометри,,REFCO,,Манометър за надуване с азот REFCO PRV-MANO | 4678776
18924,511,Азотни редуцир вентили и манометри,,ELKE,,Комплект редуцир вентил ELKE - за надуване с азот на климатични системи
19938,511,Азотни редуцир вентили и манометри,,REFCO,,Комплект редуцир вентил REFCO PRV-2200 | 4687510 - за надуване с азот
2210,302,Аксесоари и резервни части за манометри/блокове,,,R407C,Стъкло манометър | R407C
2806,159,Аксесоари и резервни части за манометри/блокове,,REFCO,,Кран за манометричен блок REFCO
2899,302,Аксесоари и резервни части за манометри/блокове,,,,Защитна капачка за манометър | 330609
3759,159,Аксесоари и резервни части за манометри/блокове,,REFCO,,Врътка за кран М2-6-09-В
3760,159,Аксесоари и резервни части за манометри/блокове,,REFCO,,Врътка за кран М2-6-09-R
5620,159,Аксесоари и резервни части за манометри/блокове,,REFCO,,Бутало за кран за манометричен блок REFCO | 9884161
5621,159,Аксесоари и резервни части за манометри/блокове,,REFCO,,Бутало за кран за манометричен блок REFCO | 4662624
5697,159,Аксесоари и резервни части за манометри/блокове,,REFCO,,"Врътка за кран, комплект - REFCO M2-6-09-R+B | 4687080"
17967,"159, 231, 302",Аксесоари и резервни части за манометри/блокове,ниско,DSZH,,"Гумен предпазител за манометър DSZH WK-68LB, ниско налягане, Ф68mm"
17968,"159, 231, 302",Аксесоари и резервни части за манометри/блокове,ниско,DSZH,,"Гумен предпазител за манометър DSZH WK-80LB, ниско налягане, Ф80mm"
17969,"159, 231, 302",Аксесоари и резервни части за манометри/блокове,високо,DSZH,,"Гумен предпазител за манометър DSZH WK-68HB, високо налягане, Ф68mm"
18420,"159, 231, 302",Аксесоари и резервни части за манометри/блокове,високо,REFCO,,"Гумен предпазител за манометър REFCO M2-GS, високо налягане, Ф68mm | 4677451"
18421,"159, 231, 302",Аксесоари и резервни части за манометри/блокове,ниско,REFCO,,"Гумен предпазител за манометър REFCO M2-GS, ниско налягане, Ф68mm | 4677451"
18430,159,Аксесоари и резервни части за манометри/блокове,,REFCO,,"Врътка за кран, комплект - REFCO M2-7-SET-B+R | 4687079"
20633,150,Аксесоари и резервни части за манометри/блокове,,REFCO,,"Адаптор за вакуумметър REFCO SWIVEL-ARM-1/4""SAE-N | 4687631"
3453,150,Вакуум помпи с манометър / вакуумметър,,VALUE,,Вакуум помпа двустъпална 1/2 HP VALUE V-i240SV
4856,150,Вакуум помпи с манометър / вакуумметър,,VALUE,,Вакуум помпа двустъпална 3/4 HP VALUE V-i260SV
4926,150,Вакуум помпи с манометър / вакуумметър,,VALUE,,Вакуум помпа двустъпална 1/5HP VALUE V-i215SV
4927,150,Вакуум помпи с манометър / вакуумметър,,VALUE,,Вакуум помпа eдностъпална 1/4HP VALUE V-i120SV с манометър
4928,150,Вакуум помпи с манометър / вакуумметър,,VALUE,,Вакуум помпа eдностъпална 1/3HP VALUE V-i140SV с манометър
4930,150,Вакуум помпи с манометър / вакуумметър,,VALUE,,Вакуум помпа eдностъпална 1/2HP VALUE V-i160SV с манометър
4931,150,Вакуум помпи с манометър / вакуумметър,,VALUE,,Вакуум помпа eдностъпална 3/4HP VALUE V-i180SV с манометър
4934,150,Вакуум помпи с манометър / вакуумметър,,VALUE,,Вакуум помпа двустъпална 1/3HP VALUE V-i220SV с манометър
4935,150,Вакуум помпи с манометър / вакуумметър,,VALUE,,Вакуум помпа двустъпална 1HP VALUE V-i280SV с манометър
6795,150,Вакуум помпи с манометър / вакуумметър,,ROTHENBERGER,R32,Вакуум помпа двустъпална 1/4 HP - ROTHENBERGER ROAIRVAC R32 1.5
10758,150,Вакуум помпи с манометър / вакуумметър,,SUPER STARS,"R1234YF, R32, R600",Вакуум помпа двустъпална 1/3 HP SUPER STARS ST-4BMC на батерия
10759,150,Вакуум помпи с манометър / вакуумметър,,SUPER STARS,"R1234YF, R32, R600",Вакуум помпа двустъпална 1/4 HP SUPER STARS ST-4BM
10766,150,Вакуум помпи с манометър / вакуумметър,,SUPER STARS,"R1234YF, R32, R600",Вакуум помпа двустъпална 1 HP SUPER STARS ST-8BM
17529,150,Вакуум помпи с манометър / вакуумметър,,DSZH,,Вакуум помпа едностъпална 1/4HP DSZH WK-115SV с манометър
17531,150,Вакуум помпи с манометър / вакуумметър,,DSZH,,Вакуум помпа двустъпална 1/4 HP DSZH WK-215SV с манометър
17532,150,Вакуум помпи с манометър / вакуумметър,,DSZH,,Вакуум помпа едностъпална 1/4HP DSZH WK-125SV с манометър
17533,150,Вакуум помпи с манометър / вакуумметър,,DSZH,,Вакуум помпа едностъпална 1/3HP DSZH WK-135SV с манометър
17534,150,Вакуум помпи с манометър / вакуумметър,,DSZH,,Вакуум помпа едностъпална 1/2HP DSZH WK-160SV с манометър
17535,150,Вакуум помпи с манометър / вакуумметър,,DSZH,,Вакуум помпа едностъпална 3/4HP DSZH WK-180SV с манометър
17536,150,Вакуум помпи с манометър / вакуумметър,,DSZH,,Вакуум помпа едностъпална 1HP DSZH WK-1100SV с манометър
17537,150,Вакуум помпи с манометър / вакуумметър,,DSZH,,Вакуум помпа двустъпална 1/3 HP DSZH WK-225SV с манометър
17539,150,Вакуум помпи с манометър / вакуумметър,,DSZH,,Вакуум помпа двустъпална 1/3 HP DSZH WK-235SV с манометър
17540,150,Вакуум помпи с манометър / вакуумметър,,DSZH,,Вакуум помпа двустъпална 1/2 HP DSZH WK-245SV с манометър
17541,150,Вакуум помпи с манометър / вакуумметър,,DSZH,,Вакуум помпа двустъпална 3/4 HP DSZH WK-260SV с манометър
17542,150,Вакуум помпи с манометър / вакуумметър,,DSZH,,Вакуум помпа двустъпална 1 HP DSZH WK-280SV с манометър
17543,150,Вакуум помпи с манометър / вакуумметър,,DSZH,,Вакуум помпа двустъпална 1 HP DSZH WK-2100SV с манометър
17545,150,Вакуум помпи с манометър / вакуумметър,,DSZH,"R1234YF, R32, R600",Вакуум помпа за R32 DSZH WK-2BM
17552,150,Вакуум помпи с манометър / вакуумметър,,DSZH,"R1234YF, R32, R600",Вакуум помпа за R32 DSZH WK-3BM
17553,150,Вакуум помпи с манометър / вакуумметър,,DSZH,"R1234YF, R32, R600",Вакуум помпа за R32 DSZH WK-4BM
17554,150,Вакуум помпи с манометър / вакуумметър,,DSZH,"R1234YF, R32, R600",Вакуум помпа за R32 DSZH WK-6BM
17555,150,Вакуум помпи с манометър / вакуумметър,,DSZH,"R1234YF, R32, R600",Вакуум помпа за R32 DSZH WK-8BM
17556,150,Вакуум помпи с манометър / вакуумметър,,DSZH,"R1234YF, R32, R600",Вакуум помпа за R32 DSZH WK-10BM
17557,150,Вакуум помпи с манометър / вакуумметър,,DSZH,"R1234YF, R32, R600",Вакуум помпа за R32 DSZH WK-12BM
17558,150,Вакуум помпи с манометър / вакуумметър,,DSZH,"R1234YF, R32, R600",Вакуум помпа за R32 DSZH WK-15BM
21602,150,Вакуум помпи с манометър / вакуумметър,,WIPCOOL,"R1234YF, R32",Вакуум помпа двустъпална WIPCOOL 2F0BR на батерия
21642,150,Вакуум помпи с манометър / вакуумметър,,WIPCOOL,"R1234YF, R32",Вакуум помпа двустъпална WIPCOOL 2F1BR на батерия
21643,150,Вакуум помпи с манометър / вакуумметър,,WIPCOOL,"R1234YF, R32",Вакуум помпа едностъпална WIPCOOL F2BR на батерия
21799,150,Вакуум помпи с манометър / вакуумметър,,WIPCOOL,"R1234YF, R32",Вакуум помпа двустъпална WIPCOOL 2F1.5R
2116,397,Вакуумметри и вакуум-тестери,,REFCO,,Вакуумметър 1000 ÷ 0 mbar | 880301
2945,"150, 397",Вакуумметри и вакуум-тестери,,SHINEYEAR,,Вакуумметър 1000 ÷ 0 mbar 690847
2993,"150, 397",Вакуумметри и вакуум-тестери,,,,Вакуумметър + блок
3385,"150, 397",Вакуумметри и вакуум-тестери,,VALUE,,Вакуумметър за вакуум помпа - VALUE TG3
3747,"150, 397",Вакуумметри и вакуум-тестери,,REFCO,,Вакуумметър REFCO 19800-SV | 9882473
10012,"150, 397",Вакуумметри и вакуум-тестери,,VALUE,,"Вакуумметър VALUE, 63mm"
17567,"150, 397",Вакуумметри и вакуум-тестери,,DSZH,,"Вакуумметър DSZH WK-18VG, 80mm"
18338,"150, 397",Вакуумметри и вакуум-тестери,,REFCO,,Вакуумметър с кран REFCO RL-VAC | 4663981
18845,"150, 397",Вакуумметри и вакуум-тестери,,DSZH,,"Вакуумметър със сферичен кран, резби 1/4"" SAE - ж и 1/4"" SAE - м, гумиран - 68mm"
2156,156,Везни/оборудване с връзка към манометричен блок,,REFCO,,Електронна везна REFCO REFSCALE-S | 4688867 - 110 kg
4617,159,Дигитални електронни манометри / блокове,,REFCO,"R134A, R12, R22, R290, R404, R407C, R410A, R502, R507",Дигитален - електронен манометър REFCO DIGIMON-8
4618,159,Дигитални електронни манометри / блокове,,REFCO,"R1234YF, R134A, R12, R22, R32, R290, R404, R407C, R410A, R502, R507",Дигитален - електронен манометър REFCO RETMATE 2 BASIC
4620,159,Дигитални електронни манометри / блокове,,ROTHENBERGER,"R1234YF, R123A, R134A, R143A, R12, R22, R32, R290, R404A, R407C, R410A, R502, R600A, R600",Дигитален - електронен манометър ROTHENBERGER ROCOOL 600 SET 1
4621,159,Дигитални електронни манометри / блокове,,ROTHENBERGER,"R1234YF, R123A, R134A, R143A, R12, R22, R32, R290, R404A, R407C, R410A, R502, R600A, R600",Дигитален - електронен манометър ROTHENBERGER ROCOOL 600 SET 2
4622,159,Дигитални електронни манометри / блокове,,ROTHENBERGER,"R1234YF, R123A, R134A, R143A, R12, R22, R32, R290, R404A, R407C, R410A, R502, R600A, R600",Дигитален - електронен манометър ROTHENBERGER ROCOOL 600 SET 3
